12603,2645,10387,574,2993
7650,2105,6240,6756,5701
10520,14150,9613,11680,102
465,12115,176,571,11779
465,12115,176,571,11779
2218,13244,13181,5903,8265
9478,6342,230,8481,13024
65,2771,11109,11441,4880
178,2046,97,14293,7430
11851,11531,13322,10823,6494
12252,1652,88,12758,2771
1154,6116,6585,8801,562
2929,11927,2695,11232,5418
8163,6518,5530,8046,4824
1206,5084,3403,3074,5613
12258,5929,4584,12118,13078
11801,14332,10696,3310,5957
11127,10086,8943,7898,13352
11441,2771,12894,12758,978
11441,2771,12894,12758,978
13844,10191,5980,12320,890
10558,2002,11355,11679,911
5083,13083,11880,2771,1978
10863,14383,1566,7285,5935
10863,14383,1566,7285,5935
10167,5331,10558,11679,7789
3887,13748,2605,5230,5464
1172,14150,4919,1411,4812
13589,10194,1230,6182,3795
13695,395,6382,7869,3444
10223,12547,12674,8630,2342
10158,4966,7806,8277,4640
864,11294,13733,358,13894
4000,7538,4487,10424,2025
4000,7538,4487,10424,2025
4299,4374,14388,13711,11530
14133,588,12578,13760,848
14133,588,12578,13760,848
12225,9923,11342,9688,7827
3595,13928,10002,6611,7304
11680,13083,4500,399,7496
2953,14098,125,9372,4904
5700,437,10018,13207,8964
7292,8452,3023,5325,4859
7292,8452,3023,5325,4859
5957,13934,1580,13659,1793
12676,4756,1309,4237,437
1899,13151,12716,13007,4009
1612,13909,13522,8823,12679
9482,5301,6618,2911,7486
8642,10848,11170,9865,13779
5642,12919,3007,3525,1260
4387,8050,5258,6790,5440
6846,5340,11264,2112,5268
8006,7066,3417,9502,4383
11361,88,7420,10976,11680
9530,3972,2588,501,6586
11286,3726,5520,6084,10549
1565,2131,5166,6399,8008
13796,7125,989,12422,8445
4851,1309,506,8957,8103
13779,12480,10508,84,10848
4475,2587,5224,10367,11742
3633,8848,3992,4623,12328
3886,10628,14107,1566,11374
13934,6898,14,10063,3186
1212,13312,11795,13175,3680
6442,13501,14471,8389,6715
13906,12706,13958,5456,10356
7528,14388,11530,14172,4666
3356,1619,4871,12364,603
13296,9320,12382,5716,1461
9709,12350,736,11095,8687
9613,88,10976,11680,2771
2891,7088,9664,4758,1719
2891,7088,9664,4758,1719
4241,6735,11484,4401,10356
4017,10203,2036,3542,1745
9774,7170,11966,8500,5778
2058,6379,4281,9981,7912
11771,4131,9125,12483,5997
10469,13809,5885,2747,9996
4142,8933,4522,7435,1771
10376,6176,13651,29,5123
3816,4396,4955,3687,5884
12416,4522,5692,7569,596
7542,972,12249,4785,14066
8172,5564,2657,8252,3649
2111,7426,13335,3243,6212
8573,3418,8308,3319,8373
9630,2606,2914,11216,12195
6293,8941,3616,3300,14273
10345,207,4139,13485,9566
9265,6204,5434,6396,7548
607,3516,3582,2109,3772
607,3516,3582,2109,3772
5530,6789,11789,4824,13315
1349,10558,911,4950,126
11753,9175,14120,11687,3818
611,6159,9060,9311,13124
1212,13175,13498,4565,5308
13527,11143,10641,5715,10886
11680,11361,10532,88,9613
5562,3109,6358,5649,5559
12948,13529,9433,11432,13254
11908,2150,3723,11039,2703
13998,6607,894,4500,6212
10641,12106,8249,2877,3926
9183,7526,12628,3168,14150
4780,6827,12682,1115,4474
14254,5957,8206,13973,9550
14024,1212,13498,13175,2826
10078,13668,13794,12192,10878
11804,10203,1060,9006,1745
14093,6084,10242,9823,10736
12547,12068,12674,11532,1212
8860,12474,1159,2771,7814
763,4184,12975,11496,1206
9441,8983,6324,13187,11510
6418,4605,3782,592,2474
5558,7496,7526,11361,9929
1899,11690,13946,13151,4009
12618,2470,7151,3935,610
12174,4465,7063,11030,12212
5916,3415,1794,1461,4851
10235,2141,8318,5977,10682
11668,13812,3352,4313,8019
811,12859,14025,12317,1720
11548,7503,487,2117,10406
3649,11216,2021,12517,7650
3649,11216,2021,12517,7650
3062,249,6421,3804,9686
8115,8445,1346,7526,6711
9023,4522,7569,5132,9617
3273,2382,3070,12504,1028
3951,2963,13126,5796,13326
8534,9545,1271,10646,8954
758,12794,2036,10203,117
5625,3180,7064,10454,9686
2465,6379,1595,5979,3473
4500,102,9613,4812,12474
3202,14388,11641,506,13634
601,3782,4848,6469,460
10976,12252,11680,1790,13083
14031,10429,1171,13609,4987
4878,2905,12943,6575,2616
4966,10191,11076,4640,5980
6830,2159,12388,6778,9686
3168,2281,13761,91,3588
3168,2281,13761,91,3588
7454,3419,12883,3217,8054
12099,1531,12511,7341,12584
13438,5072,9335,10072,4648
14456,4871,3842,722,13181
14456,4871,3842,722,13181
12641,9485,3826,2008,3319
7435,171,4522,9023,9978
14304,13212,4978,755,8407
13844,10158,12677,12880,6051
9032,13647,8957,13634,7878
389,5906,8101,12203,8596
10158,10191,890,4640,13844
3828,5636,1585,365,876
14055,1309,7136,8595,8957
