2993,12287,4276,3524,10387
6752,8172,7594,14026,5522
7526,11361,1978,2771,10532
1794,2452,13621,4446,9078
1794,2452,13621,4446,9078
13181,12417,9271,11170,10313
12697,547,3003,10123,5882
14375,8867,4812,12944,12252
4929,6686,97,2046,14293
11337,1022,4254,8247,2762
7526,11441,1092,4500,10532
6970,13236,13953,6077,7134
11232,11927,2695,2929,6658
4824,5530,6789,13366,11194
3403,5184,1206,9686,1230
7960,12942,11449,9760,11051
5957,11801,11218,3739,4676
1251,11127,1421,7820,5635
8867,11441,11680,12758,3588
8867,11441,11680,12758,3588
8411,3871,4966,13402,10815
2002,1864,10167,911,4950
739,5406,13667,11680,1092
14282,3886,1469,286,5113
14282,3886,1469,286,5113
6108,10167,9740,4348,2057
3887,5604,8594,7771,2605
4500,7526,4812,12474,1978
13589,8669,9686,10459,1230
2599,11871,8121,0,7349
12547,2342,7670,10223,8630
8411,3871,4966,1577,9354
864,3687,11622,13958,8361
7868,13124,9919,14502,10296
7868,13124,9919,14502,10296
9155,4374,8181,14388,5921
14340,1348,4341,9174,5335
14340,1348,4341,9174,5335
12225,8647,3165,5482,8668
1007,3595,6011,4661,2316
4812,7526,14492,14375,10532
14098,1372,11055,13524,4186
12635,2660,5747,5700,13343
10981,8452,4926,5325,6540
10981,8452,4926,5325,6540
5957,12831,11596,13713,3004
1309,5692,12416,13374,2024
13007,9922,4009,11690,1899
9686,12601,6428,6884,3745
6159,14456,13352,12654,5981
5617,1421,9174,12417,3003
10619,11545,1260,5878,10291
8172,13431,5225,2742,10937
6047,1839,5340,276,8285
9281,6389,3417,13519,8130
3795,1230,11148,200,12428
9530,8359,11898,9150,10146
6084,7911,11286,1241,2615
6221,9582,3236,13243,2063
8445,7125,7367,12552,6690
2024,1309,8181,506,4374
7055,11771,12032,12236,8237
1746,4475,13290,1509,7674
2058,12663,8594,11077,11551
5113,3886,14282,44,10628
3003,2289,7820,1421,5617
3082,8161,13498,2415,13175
6442,14119,13501,6919,691
864,3687,4684,6368,6003
9155,4374,1309,5921,8181
1421,11170,12417,11292,2194
13296,5972,2186,1796,2854
10306,11701,13973,11095,12350
7526,13667,4812,2771,11361
5809,13306,11065,4758,7705
5809,13306,11065,4758,7705
5926,4241,1093,1117,8910
3138,7748,8310,1629,12064
